company,sector,horizon_days,amount,date_BUY_fix,date_SELL_fix,price_BUY,price_SELL,Volatility_Buy,Volatility_sell,Sharpe_Ratio,expected_return_yearly,inflation,nominal_return,investment,ESG_ranking,PE_ratio,EPS_ratio,PS_ratio,PB_ratio,NetProfitMargin_ratio,current_ratio,roa_ratio,roe_ratio
F,AUTO,660,200,2017-04-03,2019-01-23,9.469375610351562,7.689987659454346,0.2386750549259893,0.286800753062679,0.2386750549259893,-0.0216568882693859,1.96,-0.1879097444346866,0,29.7,10.36,0.93,0.25,1.27,2.43,1.24,1.56,12.18
TGT,RETAIL,3,25000,2013-11-01,2013-11-04,51.63275909423828,52.11216354370117,0.1589970630178896,0.1592136824873285,0.1589970630178896,0.0009379847875263,1.41,0.0092848892422715,0,14.8,13.88,3.73,0.46,2.02,3.27,0.9,5.27,14.78
TGT,RETAIL,180,15000,2016-06-17,2016-12-14,58.55712127685547,68.06993865966797,0.2397249018698168,0.2277328746608921,0.2397249018698168,0.0562790872515782,-0.2,0.1624536380099069,1,14.8,12.62,5.42,0.59,3.24,4.61,1.16,8.31,25.5
AMZN,TECH,15,2000,2013-12-27,2014-01-10,398.0799865722656,397.6600036621094,0.2696678864352834,0.266388424845329,0.2696678864352834,0.0135118242586186,1.41,-0.0010550214135922,0,27.4,687.57,0.58,2.47,18.78,0.37,1.07,0.84,3.04
FB,TECH,7,1500,2016-05-12,2016-05-19,120.27999877929688,116.80999755859376,0.3222681613468137,0.3206140581905217,0.3222681613468137,0.0057844687488387,-0.2,-0.0288493619547691,0,31.6,70.43,1.62,16.56,6.9,24.75,13.16,10.19,11.36
AAPL,TECH,1,50000,2018-08-15,2018-08-16,51.16011047363281,51.90960311889648,0.2141194308533025,0.2144827845679898,0.2141194308533025,0.0006733208960779,1.68,0.0146499418848977,0,16.5,16.28,2.76,3.59,7.56,21.98,1.31,14.98,43.5
KSS,RETAIL,6,50,2014-01-31,2014-02-06,38.358524322509766,39.0555305480957,0.2229021204423935,0.2257017223345254,0.2229021204423935,0.0001126779571094,-0.15,0.0181708300279141,1,12.9,9.38,4.07,0.44,1.35,4.67,1.93,6.16,14.83
COST,RETAIL,240,20000,2016-08-24,2017-04-21,150.2706298828125,154.02536010742188,0.1874469820772793,0.1584989364833223,0.1874469820772793,0.1100848669259654,-0.2,0.0249864542894208,1,22.3,27.23,5.34,0.54,5.16,1.98,0.98,6.97,20.26
BAC,BANK,270,5000,2014-12-01,2015-08-28,14.989262580871582,14.737963676452637,0.2131339003540077,0.2313778144519146,0.2131339003540077,0.1398838001516984,-0.15,-0.0167652613371146,0,26.3,36.25,0.42,1.69,0.67,4.3,0.94,0.2,1.8
COST,RETAIL,720,4000,2015-04-10,2017-03-30,132.00836181640625,151.42774963378906,0.1510793588484531,0.1628298917377461,0.1510793588484531,0.3302546007778962,-0.5,0.1471072555569683,1,22.3,25.33,5.12,0.5,5.48,1.96,0.99,6.76,19.05
